rows=1068
feasible=370
best={'stage': 'stage1', 'hidden': 88, 'epochs': 500, 'lr': 0.021, 'weight_decay': 0.0002, 'target_gt': 0.01, 'seed': 440, 'tag': 'incumbent', 'score_base_start': '2025-03-01', 'alpha': 15, 'threshold': 0.62, 'alloc': 0.9998, 'gap_min': -0.001, 'gap_max': 0.0255, 'ret_pct': 3091.114719633972, 'dd_pct': 16.01910595150687, 'trades': 63, 'obj': 3091.114719633972}
csv=reports/search_npz_scorebase_v8.csv

[top20_feasible]
 stage  hidden  epochs     lr  weight_decay  target_gt  seed       tag score_base_start  alpha  threshold  alloc  gap_min  gap_max    ret_pct    dd_pct  trades        obj
stage2      88     500 0.0210       0.00020       0.01   440 incumbent       2025-03-01     15       0.64 0.9998  -0.0005   0.0265 3091.11472 16.019106      63 3091.11472
stage2      88     500 0.0215       0.00022       0.01   440    tie_hp       2025-03-01     15       0.66 0.9998  -0.0010   0.0255 3091.11472 16.019106      63 3091.11472
stage2      88     500 0.0210       0.00016       0.01   440    tie_hp       2025-03-01     15       0.62 0.9998  -0.0005   0.0265 3091.11472 16.019106      63 3091.11472
stage2      88     520 0.0205       0.00020       0.01   440    tie_hp       2025-03-01     15       0.62 0.9998  -0.0010   0.0255 3091.11472 16.019106      63 3091.11472
stage2      88     520 0.0205       0.00020       0.01   440    tie_hp       2025-03-01     15       0.64 0.9998  -0.0010   0.0255 3091.11472 16.019106      63 3091.11472
stage2      88     500 0.0210       0.00016       0.01   440    tie_hp       2025-03-01     15       0.64 0.9998  -0.0010   0.0255 3091.11472 16.019106      63 3091.11472
stage2      88     500 0.0210       0.00016       0.01   440    tie_hp       2025-03-01     15       0.64 0.9998  -0.0005   0.0265 3091.11472 16.019106      63 3091.11472
stage1      88     500 0.0210       0.00016       0.01   440    tie_hp       2025-03-01     15       0.64 0.9998  -0.0005   0.0265 3091.11472 16.019106      63 3091.11472
stage1      88     500 0.0210       0.00016       0.01   440    tie_hp       2025-03-01     15       0.62 0.9998  -0.0010   0.0255 3091.11472 16.019106      63 3091.11472
stage2      88     500 0.0210       0.00016       0.01   440    tie_hp       2025-03-01     15       0.66 0.9998  -0.0010   0.0255 3091.11472 16.019106      63 3091.11472
stage2      88     520 0.0205       0.00020       0.01   440    tie_hp       2025-03-01     15       0.66 0.9998  -0.0010   0.0255 3091.11472 16.019106      63 3091.11472
stage2      88     500 0.0210       0.00016       0.01   440    tie_hp       2025-03-01     15       0.66 0.9998  -0.0005   0.0265 3091.11472 16.019106      63 3091.11472
stage2      88     500 0.0210       0.00020       0.01   440 incumbent       2025-03-01     15       0.66 0.9998  -0.0005   0.0265 3091.11472 16.019106      63 3091.11472
stage2      88     500 0.0215       0.00022       0.01   440    tie_hp       2025-03-01     15       0.64 0.9998  -0.0010   0.0255 3091.11472 16.019106      63 3091.11472
stage2      88     500 0.0210       0.00020       0.01   440 incumbent       2025-03-01     15       0.66 0.9998  -0.0010   0.0255 3091.11472 16.019106      63 3091.11472
stage1      88     520 0.0205       0.00020       0.01   440    tie_hp       2025-03-01     15       0.62 0.9998  -0.0010   0.0255 3091.11472 16.019106      63 3091.11472
stage2      88     500 0.0210       0.00016       0.01   440    tie_hp       2025-03-01     15       0.62 0.9998  -0.0010   0.0255 3091.11472 16.019106      63 3091.11472
stage2      88     500 0.0210       0.00020       0.01   440 incumbent       2025-03-01     15       0.62 0.9998  -0.0005   0.0265 3091.11472 16.019106      63 3091.11472
stage2      88     500 0.0210       0.00020       0.01   440 incumbent       2025-03-01     15       0.64 0.9998  -0.0010   0.0255 3091.11472 16.019106      63 3091.11472
stage1      88     500 0.0210       0.00020       0.01   440 incumbent       2025-03-01     15       0.64 0.9998  -0.0005   0.0265 3091.11472 16.019106      63 3091.11472
